coin,date,price,date 2,amount
bitcoin,2015,305.611,2015,4.39E+11
bitcoin,2016,568.492,2016,5.87E+11
bitcoin,2017,4006.033,2017,6.66E+11
bitcoin,2018,7572.298,2018,7.79E+11
bitcoin,2019,7395.246,2019,9.84E+11
bitcoin,2020,11125.798,2020,3.13E+12
bitcoin,2021,35930.482,2021,2.30E+12
litecoin,2015,3.311,0,0.00E+00
litecoin,2016,3.788,0,0.00E+00
litecoin,2017,50.032,0,0.00E+00
litecoin,2018,105.776,0,0.00E+00
litecoin,2019,69.667,0,0.00E+00
litecoin,2020,56.335,0,0.00E+00
litecoin,2021,148.633,0,0.00E+00
etherium,2015,0.942,0,0.00E+00
etherium,2016,9.778,0,0.00E+00
etherium,2017,223.915,0,0.00E+00
etherium,2018,483.507,0,0.00E+00
etherium,2019,181.77,0,0.00E+00
etherium,2020,307.338,0,0.00E+00
etherium,2021,1308.603,0,0.00E+00
doge,2015,0.000133,0,0.00E+00
doge,2016,0.000235,0,0.00E+00
doge,2017,0.0016,0,0.00E+00
doge,2018,0.00435,0,0.00E+00
doge,2019,0.002562,0,0.00E+00
doge,2020,0.002746,0,0.00E+00
doge,2021,0.022705,0,0.00E+00